"TaskCompletionTime","DeveloperOwnershipNetwork","CommunityConcern","NumberOfConnections","CollaborationLevel"
179.625,4.691,25.875,0,0.892
20,0,7.7647,0,0
60.5,0,9,0,1
296,0,2,0,0
93.7895,0,1.9583,0,0
0.75,0,1,0,0
56,0,4,0,0
1,0.063,2.5,0,0.987
60.8182,0,1.5,0,0
109,0,72.3333,0,0
13,0,3.375,0,0
52.6,54,3,0,0.5
11.3333,0,1.5,0,1
112.118,0,1,1.121,0
159.333,0,3,0,1
173,0,11.3333,0,0
211.5,0,1,0,0
93.125,0,6.5,0,0
1,0,1,0,1
11,0.229,2.5,0,0.979
2.667,0,2.3333,0,0
252,0,1,0,1
51.8,0,3.5714,0,1
6,0,4.5,19.962,0
37,0.115,5,0,0.944
56.913,0.173,4.6667,0,0.978
17.25,0,4.75,0,0
95.5,0,5.8,2.123,0
3.5,0,3.5714,0,1
16.75,0,1.5,0,1
48.6667,54,9.3333,7.642,0.714
17,21.573,4.2,1.5,0.811
32,0,1.6667,0.833,0
148,3.085,4.75,25.258,0.769
7.5,0,6,69,0
35.8,4.602,9.6,0,0.823
177,0,1.5,0,0
28,0.111,1,0,0.978
5,0,2,0.833,0
51.6,8.456,2,0.167,0.724
3.5,2.861,370.4,0,0.866
0.9333,1.547,5,1.255,0.889
62.16667,54,5.2,9.558,0.6
42,6.38,2,0,0.91
2,53.261,5.1,39.38,0.698
0.5333,0,1.5,69,0
247,0,2.4,17.337,0
164.25,0,2,0.7,1
42.2222,0.527,5.1111,7.642,0.962
35.66667,0,2,31.009,0
50.4359,0,6.25,8.045,1
7,4.422,13.7838,140.018,0.837
139,6.843,5,1.917,0.819
333,0,1,84.27,0
77.1,0.708,29,1.363,0.941
0.76923,3.755,53,3.473,0.877
30.34375,24.145,2.375,17.764,0.677
72.6667,40.283,1.3333,7.038,0.623
73.78049,171.781,5,32.602,0.489
0.675,58.564,10.8421,8.366,0.657
53.5,4.258,3.2857,54.434,0.769
74.6487,114.703,2,16.88,0.512
52.71429,8.903,5.3419,100.193,0.789
92.044,59.307,3.4,36.444,0.616
0.8055,44.24,2,1.255,0.619
82.61728,156.916,13.1358,46.071,0.524
217,145.151,8,604.251,0.494
50.81132,58.136,7.6038,35.35,0.602
12.6,0,4.5,474.988,0
0.372413,69.865,3.7174,212.293,0.544
111.5424,99.994,5.0508,102.516,0.576
99.39316,51.269,5.0732,948.148,0.641
7,1.085,4.0294,0,0.921
